Datetime,Close,High,Low,Open,Volume
,TSLA,TSLA,TSLA,TSLA,TSLA
2025-04-15 13:30:00+00:00,250.82000732421875,251.1999969482422,247.5500030517578,249.86000061035156,5694263
2025-04-15 13:35:00+00:00,253.14999389648438,253.35000610351562,249.9600067138672,250.94000244140625,2555976
2025-04-15 13:40:00+00:00,253.27920532226562,254.3699951171875,252.27000427246094,253.14999389648438,2219125
2025-04-15 13:45:00+00:00,254.71890258789062,255.3000030517578,252.7449951171875,253.27000427246094,2094470
2025-04-15 13:50:00+00:00,254.78750610351562,255.69000244140625,254.36050415039062,254.75,1770587
2025-04-15 13:55:00+00:00,254.58999633789062,255.75,253.960205078125,254.77999877929688,1662036
2025-04-15 14:00:00+00:00,255.67559814453125,256.66900634765625,254.10000610351562,254.52999877929688,2013338
2025-04-15 14:05:00+00:00,255.9499969482422,257.1000061035156,255.3800048828125,255.6199951171875,1862064
2025-04-15 14:10:00+00:00,256.489990234375,257.45001220703125,255.4600067138672,255.94000244140625,1896477
2025-04-15 14:15:00+00:00,254.35780334472656,257.8599853515625,254.0800018310547,256.44500732421875,2479891
2025-04-15 14:20:00+00:00,254.64999389648438,256.5899963378906,253.3737030029297,254.27000427246094,2244149
2025-04-15 14:25:00+00:00,254.11000061035156,254.99180603027344,253.41099548339844,254.64999389648438,1546201
2025-04-15 14:30:00+00:00,255.75799560546875,255.97999572753906,254.14920043945312,254.14920043945312,1221523
2025-04-15 14:35:00+00:00,255.3175048828125,256.1400146484375,254.85000610351562,255.71200561523438,1070159
2025-04-15 14:40:00+00:00,258.212890625,258.75,255.0,255.31500244140625,2241239
2025-04-15 14:45:00+00:00,256.9949951171875,258.2200012207031,256.1700134277344,258.1600036621094,1611171
2025-04-15 14:50:00+00:00,256.82000732421875,257.4898986816406,256.2535095214844,256.989990234375,1062155
2025-04-15 14:55:00+00:00,255.79629516601562,257.3299865722656,255.6999969482422,256.9200134277344,1057109
2025-04-15 15:00:00+00:00,256.3599853515625,256.6098937988281,255.54400634765625,255.79750061035156,779413
2025-04-15 15:05:00+00:00,255.50880432128906,256.668701171875,255.11000061035156,256.44989013671875,978838
2025-04-15 15:10:00+00:00,256.44000244140625,256.7699890136719,255.11000061035156,255.46499633789062,911310
2025-04-15 15:15:00+00:00,256.7401123046875,257.17010498046875,256.29998779296875,256.4388122558594,745289
2025-04-15 15:20:00+00:00,256.69500732421875,257.84991455078125,256.54010009765625,256.80999755859375,981347
2025-04-15 15:25:00+00:00,255.22579956054688,256.7900085449219,255.11000061035156,256.7351989746094,956342
2025-04-15 15:30:00+00:00,255.30079650878906,256.1694030761719,255.02999877929688,255.2899932861328,812359
2025-04-15 15:35:00+00:00,254.97000122070312,255.33999633789062,254.0500030517578,255.3000030517578,1069030
2025-04-15 15:40:00+00:00,255.0050048828125,255.37989807128906,254.62100219726562,254.9600067138672,566622
2025-04-15 15:45:00+00:00,254.63999938964844,255.5,254.3000030517578,254.9844970703125,707235
2025-04-15 15:50:00+00:00,255.41900634765625,255.99000549316406,254.0500030517578,254.69369506835938,1022720
2025-04-15 15:55:00+00:00,255.49000549316406,255.5655975341797,254.73019409179688,255.39999389648438,597505
2025-04-15 16:00:00+00:00,256.0,256.0498962402344,255.1999969482422,255.52000427246094,641463
2025-04-15 16:05:00+00:00,255.85499572753906,256.2900085449219,255.41009521484375,255.89999389648438,562626
2025-04-15 16:10:00+00:00,255.6699981689453,256.29998779296875,255.22999572753906,255.85499572753906,504248
2025-04-15 16:15:00+00:00,255.38999938964844,256.1400146484375,255.0500030517578,255.6699981689453,471525
2025-04-15 16:20:00+00:00,255.6042938232422,255.77029418945312,254.83999633789062,255.39999389648438,408346
2025-04-15 16:25:00+00:00,255.22000122070312,255.83999633789062,255.02000427246094,255.6074981689453,392741
2025-04-15 16:30:00+00:00,254.95689392089844,255.64999389648438,254.75999450683594,255.22999572753906,466092
2025-04-15 16:35:00+00:00,254.4550018310547,255.24989318847656,254.4001007080078,255.0,397001
2025-04-15 16:40:00+00:00,255.02000427246094,255.1999969482422,254.27000427246094,254.5,521618
